
2025/01/16 (19:53:12) | ===> btop++ v.1.4.0
2025/01/16 (19:53:12) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/16 (19:54:50) | ===> btop++ v.1.4.0
2025/01/16 (19:54:50) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/17 (20:25:27) | ===> btop++ v.1.4.0
2025/02/17 (20:25:27) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/18 (17:22:55) | ===> btop++ v.1.4.0
2025/04/18 (17:22:55) | WARNING: Intel GPU: Failed to initialize PMU
2025/04/18 (17:23:03) | WARNING: Failed to join _runner thread on exit!

2025/04/18 (17:23:51) | ===> btop++ v.1.4.0
2025/04/18 (17:23:51) | WARNING: Intel GPU: Failed to initialize PMU
